lead_id,seller_id,company_name,seller_category,service_name,seller_health_score,match_score
L100000,64000414,"Kari, Sandhu and Chokshi",Chemicals,Trustseal Pro,25,94
L100001,64000183,Khanna-Jayaraman,Leather,Mini Dynamic Catalog (Annual),62,71
L100002,64000161,Thaker-Doctor,Chemicals,Mini Dynamic Catalog (Annual),93,96
L100003,64000861,Gulati-Raju,Packaging,Mini Dynamic Catalog (Monthly),91,84
L100004,64000123,"Subramanian, Shah and Loke",Machinery,Free,71,77
L100005,64000240,Raju-Mallick,Leather,Free,86,98
L100006,64000389,Doshi and Sons,Agriculture,Trustseal Pro,53,86
L100007,64000926,"Krishnamurthy, Goda and Wable",Machinery,IM Leader Pro,46,99
L100008,64000608,Borde-Brahmbhatt,Machinery,Mini Dynamic Catalog (Monthly),26,97
L100009,64000633,Banerjee-Tiwari,Agriculture,Free,15,74
L100010,64000136,Mand-Chaudhuri,Packaging,Free,87,75
L100011,64000649,Dhillon and Sons,Electronics,Free,90,83
L100012,64000474,"Basak, Kaur and Barman",Garments,Free,73,97
L100013,64000142,Halder-Agate,Electronics,Maximiser Pro,55,85
L100014,64000912,Agate LLC,Furniture,Maximiser Pro,32,84
L100015,64000608,Borde-Brahmbhatt,Machinery,Mini Dynamic Catalog (Monthly),26,90
L100016,64000954,"Bava, Tandon and Baria",Electronics,Mini Dynamic Catalog (Monthly),83,71
L100017,64000065,"Kannan, Sur and Kota",Electronics,IM IL,43,95
L100018,64000983,Tank and Sons,Chemicals,IM Star Pro,42,99
L100019,64000182,"Goda, Kara and Saha",Agriculture,Free,32,93
L100020,64000474,"Basak, Kaur and Barman",Garments,Free,73,96
L100021,64000104,Lal Inc,Chemicals,Maximiser Pro,61,78
L100022,64000757,"Kade, Bora and Babu",Machinery,Mini Dynamic Catalog (Monthly),34,72
L100023,64000000,Ghose-Rastogi,Electronics,Free,89,81
L100024,64000013,Kashyap Inc,Electronics,IM Star Pro,21,75
L100025,64000576,"Chaudhuri, Gill and Kata",Packaging,IM Leader Pro,23,73
L100026,64000572,"Ramesh, Yadav and Bajwa",Furniture,Maximiser Pro,36,92
L100027,64000497,Ghose Ltd,Agriculture,Mini Dynamic Catalog (Annual),23,95
L100028,64000733,Char-Gour,Garments,Free,73,82
L100029,64000425,Rajagopal-Mahajan,Agriculture,Free,86,87
L100030,64000140,Handa Inc,Machinery,Free,86,86
L100031,64000747,Dua-Buch,Electronics,Mini Dynamic Catalog (Annual),20,87
L100032,64000136,Mand-Chaudhuri,Packaging,Free,87,70
L100033,64000650,"Rattan, Ratti and Vaidya",Electronics,Mini Dynamic Catalog (Monthly),36,95
L100034,64000335,"Raju, Varkey and Gour",Packaging,Free,45,80
L100035,64000722,"Rana, Bir and Walla",Machinery,Maximiser Pro,85,95
L100036,64000345,"Ghosh, Vig and Manne",Agriculture,Free,89,79
L100037,64000202,Tripathi and Sons,Agriculture,Mini Dynamic Catalog (Annual),90,98
L100038,64000089,Varty-Ahuja,Leather,IM IL,79,95
L100039,64000567,Srinivasan-Dua,Garments,Free,71,88
L100040,64000759,"Sen, Golla and Madan",Electronics,IM Star Pro,83,80
