lead_id,timestamp,buyer_city,buyer_state,product_name,category,subcategory,quantity,order_value_rs,buyer_type,intent_score,lead_quality,urgency,budget_range,requirement_type,buyer_engagement_score,gst_verified,preferred_contact,lead_source
L100000,2026-04-20 9:09:45,Jaipur,Assam,Industrial Cleaning Chemical,Chemicals,Paint Chemical,390,185174,Distributor,75,Warm,Within Week,Rs. 180174 - 185174,OEM Supply,11,Yes,Call,Recommendation
L100001,2026-05-02 12:09:45,Noida,Gujarat,PU Leather Passport Cover Holder,Leather,Passport Holder,103,140473,Wholesaler,88,Hot,Within Week,Rs. 135473 - 140473,Sample,98,No,Call,Direct
L100002,2026-05-05 4:09:45,Bengaluru,Punjab,Industrial Cleaning Chemical,Chemicals,Cleaning Chemical,316,455600,Manufacturer,83,Warm,Within Week,Rs. 450600 - 455600,Bulk Purchase,75,No,Email,Direct
L100003,2026-04-21 4:09:45,Delhi,Tamil Nadu,Custom Printed Labels,Packaging,Shipping Box,490,413697,Retailer,83,Warm,Immediate,Rs. 408697 - 413697,Reselling,35,No,Call,Search
L100004,2026-05-07 8:09:45,Bengaluru,Tamil Nadu,Industrial Mixer Machine,Machinery,Juice Machine,230,93522,Retailer,83,Warm,Immediate,Rs. 88522 - 93522,OEM Supply,15,No,WhatsApp,Search
L100005,2026-05-08 3:09:45,Delhi,Uttar Pradesh,Leather Wallet for Corporate Gifting,Leather,Wallet,3,173810,Wholesaler,69,Warm,Within Week,Rs. 168810 - 173810,Reselling,86,Yes,Email,Search
L100006,2026-05-06 21:09:45,Bengaluru,Sikkim,Organic Fertilizers,Agriculture,Pesticides,402,371528,Retailer,60,Cold,Within Week,Rs. 366528 - 371528,Bulk Purchase,63,No,Call,Search
L100007,2026-04-18 8:09:45,Bengaluru,Kerala,Industrial Mixer Machine,Machinery,Juice Machine,170,189661,Manufacturer,58,Cold,Immediate,Rs. 184661 - 189661,Sample,24,No,WhatsApp,ASTBuy
L100008,2026-04-28 6:09:45,Noida,Tripura,Industrial Mixer Machine,Machinery,Packaging Machine,196,480712,Distributor,90,Hot,Within Month,Rs. 475712 - 480712,Sample,76,No,Email,Recommendation
L100009,2026-05-11 5:09:45,Mumbai,Maharashtra,Hybrid Seeds Requirement,Agriculture,Seeds,460,342088,Wholesaler,52,Cold,Immediate,Rs. 337088 - 342088,Sample,90,Yes,Call,ASTBuy
L100010,2026-04-26 4:09:45,Mumbai,Gujarat,Corrugated Shipping Boxes,Packaging,Corrugated Box,276,435002,Wholesaler,84,Warm,Within Month,Rs. 430002 - 435002,Sample,68,No,Call,Direct
L100011,2026-05-05 0:09:45,Noida,Kerala,Wireless CCTV Camera,Electronics,CCTV Camera,407,132572,Manufacturer,75,Warm,Immediate,Rs. 127572 - 132572,OEM Supply,67,No,WhatsApp,Search
L100012,2026-05-12 1:09:45,Chennai,Rajasthan,Bulk Cotton T-Shirts,Garments,Kids Wear,274,3592,Retailer,81,Warm,Within Week,Rs. 100 - 3592,Sample,55,Yes,WhatsApp,Search
L100013,2026-04-24 12:09:45,Ahmedabad,Uttar Pradesh,CCTV AMC Services,Electronics,Fiber Optic Cable,196,207653,Wholesaler,92,Hot,Within Week,Rs. 202653 - 207653,Bulk Purchase,60,No,Email,ASTBuy
L100014,2026-05-12 23:09:45,Delhi,Punjab,Office Chair Supplier,Furniture,Sofa,284,459129,Manufacturer,75,Warm,Immediate,Rs. 454129 - 459129,Sample,49,Yes,Email,Search
L100015,2026-05-03 23:09:45,Gurugram,Assam,Sugarcane Juice Machine,Machinery,Mixer Machine,83,96965,Retailer,54,Cold,Within Week,Rs. 91965 - 96965,Bulk Purchase,95,Yes,Email,Recommendation
L100016,2026-04-23 23:09:45,Surat,Odisha,HDMI Cable Requirement,Electronics,Fiber Optic Cable,129,51986,Distributor,52,Cold,Within Week,Rs. 46986 - 51986,Bulk Purchase,95,Yes,Call,Search
L100017,2026-05-01 16:09:45,Chennai,Goa,Fiber Optic Cable Supplier,Electronics,HDMI Cable,249,236768,Wholesaler,61,Cold,Within Week,Rs. 231768 - 236768,Reselling,50,No,Call,Direct
L100018,2026-04-29 9:09:45,Ahmedabad,Andhra Pradesh,Industrial Cleaning Chemical,Chemicals,Industrial Solvents,365,388376,Distributor,81,Warm,Immediate,Rs. 383376 - 388376,OEM Supply,69,No,WhatsApp,Search
L100019,2026-05-08 18:09:45,Bengaluru,Mizoram,Organic Fertilizers,Agriculture,Seeds,331,318547,Wholesaler,45,Cold,Within Month,Rs. 313547 - 318547,Reselling,90,Yes,Email,Direct
L100020,2026-04-19 13:09:45,Gurugram,Assam,Bulk Cotton T-Shirts,Garments,Hoodies,417,305578,Retailer,77,Warm,Immediate,Rs. 300578 - 305578,Reselling,79,No,Email,ASTBuy
L100021,2026-05-02 8:09:45,Ahmedabad,Madhya Pradesh,Industrial Cleaning Chemical,Chemicals,Cleaning Chemical,457,405326,Manufacturer,77,Warm,Within Week,Rs. 400326 - 405326,Sample,60,No,Email,Direct
L100022,2026-04-20 14:09:45,Ahmedabad,Kerala,Sugarcane Juice Machine,Machinery,Juice Machine,229,83978,Manufacturer,51,Cold,Within Week,Rs. 78978 - 83978,Reselling,15,Yes,WhatsApp,ASTBuy
L100023,2026-04-29 8:09:45,Jaipur,Karnataka,Fiber Optic Cable Supplier,Electronics,Fiber Optic Cable,120,22943,Manufacturer,82,Warm,Immediate,Rs. 17943 - 22943,OEM Supply,15,Yes,Email,Search
L100024,2026-04-20 10:09:45,Ahmedabad,Assam,Fiber Optic Cable Supplier,Electronics,Adapters,428,389474,Manufacturer,56,Cold,Within Week,Rs. 384474 - 389474,OEM Supply,56,Yes,Email,Search
L100025,2026-04-23 23:09:45,Ludhiana,Rajasthan,Plastic Packaging Pouch,Packaging,Labels,208,185520,Retailer,92,Hot,Within Month,Rs. 180520 - 185520,Bulk Purchase,66,Yes,Call,Direct
L100026,2026-05-09 16:09:45,Gurugram,Jharkhand,Modular Workstation Table,Furniture,Wooden Table,96,83000,Manufacturer,63,Cold,Within Week,Rs. 78000 - 83000,Reselling,24,No,Email,Recommendation
L100027,2026-05-04 8:09:45,Delhi,Haryana,Drip Irrigation Setup,Agriculture,Fertilizers,83,339850,Wholesaler,93,Hot,Immediate,Rs. 334850 - 339850,Bulk Purchase,27,Yes,Email,ASTBuy
L100028,2026-04-19 4:09:45,Chennai,Tamil Nadu,Corporate Polo T-Shirts,Garments,Uniforms,473,94891,Retailer,73,Warm,Within Month,Rs. 89891 - 94891,Reselling,20,Yes,WhatsApp,Recommendation
L100029,2026-04-19 21:09:45,Ahmedabad,Uttar Pradesh,Organic Fertilizers,Agriculture,Fertilizers,426,215860,Distributor,78,Warm,Immediate,Rs. 210860 - 215860,Bulk Purchase,97,No,WhatsApp,Direct
L100030,2026-04-23 5:09:45,Jaipur,Meghalaya,Semi Automatic Lathe Machine,Machinery,Mixer Machine,68,57422,Wholesaler,41,Cold,Immediate,Rs. 52422 - 57422,Sample,32,No,Email,Direct
L100031,2026-05-14 16:09:45,Jaipur,Tripura,CCTV AMC Services,Electronics,CCTV Camera,338,68829,Manufacturer,97,Hot,Within Week,Rs. 63829 - 68829,Reselling,15,No,Call,Recommendation
L100032,2026-04-15 0:09:45,Chennai,Telangana,Plastic Packaging Pouch,Packaging,Plastic Pouch,412,389203,Retailer,98,Hot,Within Week,Rs. 384203 - 389203,OEM Supply,27,No,WhatsApp,ASTBuy
L100033,2026-05-14 10:09:45,Chennai,Himachal Pradesh,CCTV AMC Services,Electronics,Fiber Optic Cable,132,99601,Retailer,40,Cold,Within Week,Rs. 94601 - 99601,Sample,58,Yes,Email,Search
L100034,2026-05-03 14:09:45,Bengaluru,Andhra Pradesh,Corrugated Shipping Boxes,Packaging,Plastic Pouch,80,223884,Manufacturer,81,Warm,Within Week,Rs. 218884 - 223884,Reselling,88,No,Email,Recommendation
L100035,2026-05-03 22:09:45,Noida,Kerala,Semi Automatic Lathe Machine,Machinery,Mixer Machine,92,194598,Distributor,75,Warm,Within Week,Rs. 189598 - 194598,OEM Supply,27,Yes,Email,ASTBuy
L100036,2026-04-21 6:09:45,Chennai,West Bengal,Organic Fertilizers,Agriculture,Fertilizers,110,267018,Retailer,65,Cold,Within Week,Rs. 262018 - 267018,Bulk Purchase,59,Yes,Call,ASTBuy
L100037,2026-04-18 18:09:45,Delhi,Tamil Nadu,Organic Fertilizers,Agriculture,Drip Irrigation,33,138435,Manufacturer,54,Cold,Immediate,Rs. 133435 - 138435,OEM Supply,88,No,Email,Direct
L100038,2026-04-22 15:09:45,Noida,Arunachal Pradesh,Card Holder & Cases,Leather,Card Holder,6,106252,Wholesaler,94,Hot,Within Week,Rs. 101252 - 106252,Sample,86,Yes,Email,ASTBuy
L100039,2026-05-02 23:09:45,Jaipur,Jharkhand,School Uniform Supplier,Garments,Corporate Wear,336,650,Distributor,50,Cold,Immediate,Rs. 100 - 650,OEM Supply,61,Yes,Email,Direct
L100040,2026-04-29 21:09:45,Surat,Rajasthan,Fiber Optic Cable Supplier,Electronics,CCTV Camera,372,435535,Distributor,75,Warm,Within Month,Rs. 430535 - 435535,Bulk Purchase,87,Yes,WhatsApp,Recommendation
L100041,2026-04-23 6:09:45,Noida,Maharashtra,School Uniform Supplier,Garments,Corporate Wear,209,265914,Distributor,46,Cold,Within Week,Rs. 260914 - 265914,Sample,75,No,Email,Search
L100042,2026-04-25 4:09:45,Ludhiana,Odisha,Drip Irrigation Setup,Agriculture,Drip Irrigation,248,404184,Retailer,55,Cold,Within Week,Rs. 399184 - 404184,OEM Supply,24,No,Call,Recommendation
L100043,2026-04-14 20:09:45,Noida,Bihar,Industrial Mixer Machine,Machinery,Juice Machine,212,185624,Wholesaler,73,Warm,Within Week,Rs. 180624 - 185624,Reselling,21,No,Email,Search
L100044,2026-04-20 6:09:45,Noida,Tripura,Wireless CCTV Camera,Electronics,Adapters,244,165059,Wholesaler,62,Cold,Immediate,Rs. 160059 - 165059,Bulk Purchase,73,Yes,Call,ASTBuy
L100045,2026-04-29 13:09:45,Ahmedabad,Uttarakhand,Modular Workstation Table,Furniture,Wooden Table,104,438249,Retailer,55,Cold,Within Month,Rs. 433249 - 438249,Sample,20,No,Email,Direct
L100046,2026-04-20 5:09:45,Noida,Arunachal Pradesh,Corporate Polo T-Shirts,Garments,Kids Wear,318,165869,Manufacturer,71,Warm,Within Month,Rs. 160869 - 165869,Bulk Purchase,75,No,WhatsApp,ASTBuy
L100047,2026-04-29 22:09:45,Jaipur,Himachal Pradesh,Card Holder & Cases,Leather,Passport Holder,245,493149,Wholesaler,74,Warm,Immediate,Rs. 488149 - 493149,OEM Supply,25,No,WhatsApp,Direct
L100048,2026-05-03 16:09:45,Ahmedabad,Meghalaya,Hoodies for Reselling,Garments,Uniforms,298,53320,Distributor,60,Cold,Immediate,Rs. 48320 - 53320,Bulk Purchase,44,No,Email,Search
L100049,2026-04-28 20:09:45,Surat,Tripura,Paint Chemical Supplier,Chemicals,Industrial Solvents,218,110879,Manufacturer,66,Warm,Within Week,Rs. 105879 - 110879,Reselling,67,Yes,Email,ASTBuy
L100050,2026-04-28 11:09:45,Gurugram,Jharkhand,Industrial Mixer Machine,Machinery,Packaging Machine,412,124129,Wholesaler,75,Warm,Immediate,Rs. 119129 - 124129,Bulk Purchase,70,Yes,Call,Recommendation
L100051,2026-04-23 23:09:45,Noida,Uttar Pradesh,Drip Irrigation Setup,Agriculture,Fertilizers,265,280460,Distributor,86,Hot,Immediate,Rs. 275460 - 280460,Sample,60,Yes,Email,ASTBuy
L100052,2026-04-30 11:09:45,Noida,Telangana,Corporate Polo T-Shirts,Garments,Uniforms,244,440362,Distributor,80,Warm,Immediate,Rs. 435362 - 440362,Reselling,81,No,WhatsApp,Direct
L100053,2026-04-20 4:09:45,Bengaluru,Rajasthan,Custom Printed Labels,Packaging,Corrugated Box,445,356798,Wholesaler,78,Warm,Immediate,Rs. 351798 - 356798,Reselling,55,No,Email,Recommendation
L100054,2026-05-08 13:09:45,Ahmedabad,Tamil Nadu,Hybrid Seeds Requirement,Agriculture,Seeds,315,150720,Distributor,69,Warm,Within Week,Rs. 145720 - 150720,OEM Supply,90,No,Call,Direct
L100055,2026-05-03 8:09:45,Chennai,Uttarakhand,Travel Organizer Bag,Leather,Organizer Bag,161,166635,Manufacturer,81,Warm,Immediate,Rs. 161635 - 166635,Reselling,66,No,Email,Recommendation
L100056,2026-04-16 12:09:45,Noida,Kerala,Corrugated Shipping Boxes,Packaging,Labels,438,12611,Retailer,48,Cold,Within Week,Rs. 7611 - 12611,Bulk Purchase,31,No,Call,Direct
L100057,2026-05-11 4:09:45,Mumbai,Madhya Pradesh,HDMI Cable Requirement,Electronics,Wireless CCTV,14,404691,Distributor,65,Cold,Within Week,Rs. 399691 - 404691,Bulk Purchase,20,No,WhatsApp,ASTBuy
L100058,2026-05-07 11:09:45,Delhi,Odisha,Semi Automatic Lathe Machine,Machinery,Lathe Machine,321,66776,Retailer,48,Cold,Within Week,Rs. 61776 - 66776,Reselling,51,No,WhatsApp,Search
L100059,2026-04-17 19:09:45,Chennai,Uttar Pradesh,Drip Irrigation Setup,Agriculture,Fertilizers,277,93318,Manufacturer,77,Warm,Within Week,Rs. 88318 - 93318,Reselling,54,No,Email,ASTBuy
L100060,2026-05-14 7:09:45,Delhi,Mizoram,Fiber Optic Cable Supplier,Electronics,Wireless CCTV,188,216613,Wholesaler,56,Cold,Immediate,Rs. 211613 - 216613,Reselling,46,No,Email,Direct
L100061,2026-04-19 6:09:45,Gurugram,Andhra Pradesh,Hybrid Seeds Requirement,Agriculture,Drip Irrigation,5,402036,Retailer,67,Warm,Within Week,Rs. 397036 - 402036,Reselling,34,No,Email,Recommendation
L100062,2026-04-28 14:09:45,Gurugram,Haryana,Corrugated Shipping Boxes,Packaging,Labels,367,386962,Distributor,81,Warm,Immediate,Rs. 381962 - 386962,Sample,64,Yes,Email,Search
L100063,2026-05-02 9:09:45,Mumbai,Andhra Pradesh,Reception Desk Requirement,Furniture,Sofa,97,447970,Manufacturer,44,Cold,Immediate,Rs. 442970 - 447970,OEM Supply,44,No,Call,Search
L100064,2026-05-10 9:09:45,Noida,West Bengal,Bulk Cotton T-Shirts,Garments,Uniforms,497,280978,Distributor,41,Cold,Immediate,Rs. 275978 - 280978,Bulk Purchase,66,Yes,Call,Direct
L100065,2026-04-23 11:09:45,Surat,Telangana,Card Holder & Cases,Leather,Passport Holder,112,179760,Manufacturer,66,Warm,Immediate,Rs. 174760 - 179760,Sample,52,Yes,Call,Direct
L100066,2026-05-04 1:09:45,Jaipur,Punjab,Office Chair Supplier,Furniture,Modular Desk,279,246992,Retailer,51,Cold,Immediate,Rs. 241992 - 246992,Sample,41,No,WhatsApp,ASTBuy
L100067,2026-05-05 20:09:45,Ludhiana,Tamil Nadu,Hoodies for Reselling,Garments,Uniforms,377,404723,Manufacturer,46,Cold,Within Week,Rs. 399723 - 404723,Reselling,51,Yes,Email,Direct
L100068,2026-05-12 12:09:45,Gurugram,Haryana,CCTV AMC Services,Electronics,Fiber Optic Cable,327,157164,Retailer,52,Cold,Immediate,Rs. 152164 - 157164,Bulk Purchase,91,No,WhatsApp,Direct
L100069,2026-05-12 22:09:45,Chennai,Arunachal Pradesh,PU Leather Passport Cover Holder,Leather,Organizer Bag,203,414238,Manufacturer,55,Cold,Immediate,Rs. 409238 - 414238,Bulk Purchase,57,Yes,Call,ASTBuy
L100070,2026-05-12 4:09:45,Surat,Arunachal Pradesh,Drip Irrigation Setup,Agriculture,Seeds,317,177930,Wholesaler,88,Hot,Within Week,Rs. 172930 - 177930,Sample,26,No,Call,Search
L100071,2026-05-09 0:09:45,Noida,Himachal Pradesh,Industrial Solvents Requirement,Chemicals,Cleaning Chemical,99,11695,Retailer,84,Warm,Immediate,Rs. 6695 - 11695,OEM Supply,100,No,Email,Search
L100072,2026-04-24 18:09:45,Noida,Jharkhand,Drip Irrigation Setup,Agriculture,Fertilizers,96,285513,Wholesaler,62,Cold,Immediate,Rs. 280513 - 285513,Sample,77,Yes,WhatsApp,Search
L100073,2026-05-06 20:09:45,Delhi,Tamil Nadu,Reception Desk Requirement,Furniture,Sofa,1,407304,Distributor,80,Warm,Within Week,Rs. 402304 - 407304,Bulk Purchase,51,Yes,Email,Recommendation
L100074,2026-05-01 0:09:45,Mumbai,Maharashtra,Sugarcane Juice Machine,Machinery,Mixer Machine,314,148941,Retailer,60,Cold,Immediate,Rs. 143941 - 148941,Sample,15,Yes,Call,Direct
L100075,2026-04-28 4:09:45,Ludhiana,Gujarat,Semi Automatic Lathe Machine,Machinery,Packaging Machine,99,52275,Distributor,42,Cold,Within Week,Rs. 47275 - 52275,Sample,56,Yes,Email,Direct
L100076,2026-04-17 11:09:45,Delhi,Sikkim,Hoodies for Reselling,Garments,Uniforms,476,466994,Distributor,93,Hot,Immediate,Rs. 461994 - 466994,OEM Supply,57,Yes,Email,Search
L100077,2026-05-10 14:09:45,Mumbai,Chhattisgarh,Corporate Polo T-Shirts,Garments,T-Shirts,40,495744,Wholesaler,53,Cold,Within Month,Rs. 490744 - 495744,OEM Supply,34,Yes,Email,ASTBuy
L100078,2026-04-29 11:09:45,Ludhiana,Maharashtra,Card Holder & Cases,Leather,Laptop Sleeve,383,55819,Manufacturer,89,Hot,Within Week,Rs. 50819 - 55819,Sample,31,Yes,Email,Recommendation
L100079,2026-05-01 7:09:45,Bengaluru,Himachal Pradesh,Industrial Cleaning Chemical,Chemicals,Paint Chemical,274,315028,Distributor,68,Warm,Within Month,Rs. 310028 - 315028,Reselling,62,No,Email,Search
L100080,2026-04-25 10:09:45,Ludhiana,Punjab,Semi Automatic Lathe Machine,Machinery,Juice Machine,393,288983,Manufacturer,87,Hot,Immediate,Rs. 283983 - 288983,Sample,14,No,Email,Direct
L100081,2026-05-13 19:09:45,Noida,Kerala,PU Leather Passport Cover Holder,Leather,Organizer Bag,154,116832,Wholesaler,53,Cold,Within Month,Rs. 111832 - 116832,Sample,14,No,WhatsApp,ASTBuy
L100082,2026-05-01 22:09:45,Mumbai,West Bengal,Leather Wallet for Corporate Gifting,Leather,Organizer Bag,456,305717,Manufacturer,55,Cold,Immediate,Rs. 300717 - 305717,Bulk Purchase,19,No,WhatsApp,ASTBuy
L100083,2026-04-20 3:09:45,Jaipur,Bihar,Drip Irrigation Setup,Agriculture,Seeds,329,157992,Retailer,42,Cold,Within Week,Rs. 152992 - 157992,Sample,52,No,WhatsApp,Recommendation
L100084,2026-05-01 17:09:45,Bengaluru,Mizoram,HDMI Cable Requirement,Electronics,HDMI Cable,325,408091,Retailer,80,Warm,Immediate,Rs. 403091 - 408091,Reselling,79,Yes,WhatsApp,ASTBuy
L100085,2026-04-23 5:09:45,Mumbai,Chhattisgarh,Card Holder & Cases,Leather,Passport Holder,498,234131,Wholesaler,88,Hot,Within Week,Rs. 229131 - 234131,OEM Supply,47,No,Call,ASTBuy
L100086,2026-05-03 13:09:45,Mumbai,Chhattisgarh,Paint Chemical Supplier,Chemicals,Industrial Solvents,293,391259,Manufacturer,43,Cold,Within Week,Rs. 386259 - 391259,OEM Supply,99,Yes,Call,Recommendation
L100087,2026-04-22 9:09:45,Gurugram,Chhattisgarh,Semi Automatic Lathe Machine,Machinery,Mixer Machine,334,300041,Wholesaler,52,Cold,Within Week,Rs. 295041 - 300041,Sample,44,No,WhatsApp,Direct
L100088,2026-04-19 9:09:45,Delhi,Mizoram,CCTV AMC Services,Electronics,Wireless CCTV,188,183113,Distributor,52,Cold,Immediate,Rs. 178113 - 183113,Bulk Purchase,54,No,Email,ASTBuy
L100089,2026-05-11 2:09:45,Mumbai,Uttar Pradesh,Organic Fertilizers,Agriculture,Seeds,103,359825,Retailer,63,Cold,Immediate,Rs. 354825 - 359825,Bulk Purchase,89,Yes,WhatsApp,Direct
L100090,2026-05-05 19:09:45,Bengaluru,West Bengal,Industrial Cleaning Chemical,Chemicals,Paint Chemical,157,236461,Wholesaler,70,Warm,Immediate,Rs. 231461 - 236461,Bulk Purchase,79,No,Email,Recommendation
L100091,2026-05-03 20:09:45,Ahmedabad,Haryana,Card Holder & Cases,Leather,Passport Holder,299,475526,Retailer,82,Warm,Within Week,Rs. 470526 - 475526,Reselling,35,No,Call,Recommendation
L100092,2026-04-16 14:09:45,Surat,Chhattisgarh,Hoodies for Reselling,Garments,T-Shirts,339,142744,Retailer,82,Warm,Within Month,Rs. 137744 - 142744,Sample,47,No,Call,Recommendation
L100093,2026-05-06 6:09:45,Bengaluru,Telangana,CCTV AMC Services,Electronics,Fiber Optic Cable,444,313555,Manufacturer,74,Warm,Immediate,Rs. 308555 - 313555,Sample,15,Yes,Email,Search
L100094,2026-04-29 17:09:45,Surat,West Bengal,Paint Chemical Supplier,Chemicals,Cleaning Chemical,382,82815,Distributor,41,Cold,Immediate,Rs. 77815 - 82815,Bulk Purchase,74,No,Call,Search
L100095,2026-04-27 23:09:45,Ahmedabad,Madhya Pradesh,Plastic Packaging Pouch,Packaging,Corrugated Box,486,147402,Retailer,54,Cold,Immediate,Rs. 142402 - 147402,OEM Supply,76,Yes,WhatsApp,ASTBuy
L100096,2026-05-09 3:09:45,Gurugram,Nagaland,Leather Wallet for Corporate Gifting,Leather,Card Holder,466,317887,Wholesaler,61,Cold,Immediate,Rs. 312887 - 317887,Bulk Purchase,27,No,Email,ASTBuy
L100097,2026-05-11 20:09:45,Bengaluru,Goa,Plastic Packaging Pouch,Packaging,Labels,478,296641,Retailer,98,Hot,Immediate,Rs. 291641 - 296641,Bulk Purchase,50,Yes,Email,Direct
L100098,2026-04-17 13:09:45,Noida,Chhattisgarh,Paint Chemical Supplier,Chemicals,Cleaning Chemical,156,232761,Wholesaler,87,Hot,Within Month,Rs. 227761 - 232761,Bulk Purchase,23,Yes,Call,Direct
L100099,2026-04-15 9:09:45,Ludhiana,Uttarakhand,Modular Workstation Table,Furniture,Wooden Table,119,360883,Wholesaler,41,Cold,Immediate,Rs. 355883 - 360883,OEM Supply,93,No,Call,Recommendation
L100100,2026-05-14 2:09:45,Noida,Odisha,Organic Fertilizers,Agriculture,Drip Irrigation,84,101823,Manufacturer,54,Cold,Immediate,Rs. 96823 - 101823,Bulk Purchase,95,Yes,Call,Direct
L100101,2026-05-04 5:09:45,Jaipur,Uttarakhand,Card Holder & Cases,Leather,Card Holder,353,170838,Manufacturer,95,Hot,Within Week,Rs. 165838 - 170838,Sample,87,No,Email,Search
L100102,2026-05-12 22:09:45,Gurugram,Maharashtra,Plastic Packaging Pouch,Packaging,Corrugated Box,56,237273,Manufacturer,69,Warm,Within Month,Rs. 232273 - 237273,Sample,81,No,Email,Direct
L100103,2026-05-02 13:09:45,Ludhiana,Uttar Pradesh,Semi Automatic Lathe Machine,Machinery,Lathe Machine,204,464179,Wholesaler,59,Cold,Within Week,Rs. 459179 - 464179,OEM Supply,47,Yes,Email,ASTBuy
L100104,2026-04-19 18:09:45,Bengaluru,Manipur,Organic Fertilizers,Agriculture,Drip Irrigation,370,262988,Wholesaler,47,Cold,Immediate,Rs. 257988 - 262988,OEM Supply,62,No,WhatsApp,Direct
L100105,2026-04-15 5:09:45,Ahmedabad,Odisha,Travel Organizer Bag,Leather,Card Holder,452,238884,Retailer,45,Cold,Immediate,Rs. 233884 - 238884,Sample,24,No,Email,Search
L100106,2026-05-07 22:09:45,Jaipur,Odisha,CCTV AMC Services,Electronics,Adapters,373,415246,Manufacturer,72,Warm,Within Week,Rs. 410246 - 415246,Sample,31,No,Email,ASTBuy
L100107,2026-05-01 13:09:45,Ludhiana,Nagaland,Travel Organizer Bag,Leather,Wallet,394,373817,Distributor,43,Cold,Immediate,Rs. 368817 - 373817,Bulk Purchase,25,Yes,Call,Direct
L100108,2026-05-14 12:09:45,Chennai,Nagaland,Reception Desk Requirement,Furniture,Office Chair,255,448981,Manufacturer,71,Warm,Within Week,Rs. 443981 - 448981,Bulk Purchase,37,No,WhatsApp,Recommendation
L100109,2026-05-02 21:09:45,Chennai,Himachal Pradesh,Drip Irrigation Setup,Agriculture,Seeds,308,3946,Wholesaler,55,Cold,Within Month,Rs. 100 - 3946,Sample,33,Yes,Call,Search
L100110,2026-04-30 14:09:45,Mumbai,Tamil Nadu,Bulk Cotton T-Shirts,Garments,Uniforms,342,303587,Retailer,93,Hot,Within Week,Rs. 298587 - 303587,Sample,63,Yes,Call,Search
L100111,2026-04-30 23:09:45,Surat,Sikkim,Leather Wallet for Corporate Gifting,Leather,Card Holder,477,19290,Manufacturer,45,Cold,Within Week,Rs. 14290 - 19290,Sample,64,Yes,WhatsApp,Recommendation
L100112,2026-04-15 1:09:45,Gurugram,Jharkhand,Leather Wallet for Corporate Gifting,Leather,Passport Holder,169,276827,Retailer,66,Warm,Within Week,Rs. 271827 - 276827,Sample,83,Yes,WhatsApp,Search
L100113,2026-05-09 5:09:45,Chennai,Manipur,Custom Printed Labels,Packaging,Plastic Pouch,270,302040,Manufacturer,79,Warm,Immediate,Rs. 297040 - 302040,OEM Supply,73,Yes,Email,ASTBuy
L100114,2026-05-09 17:09:45,Gurugram,Uttarakhand,Office Chair Supplier,Furniture,Wooden Table,61,13075,Manufacturer,69,Warm,Within Week,Rs. 8075 - 13075,OEM Supply,15,No,WhatsApp,ASTBuy
