event_id,timestamp,seller_id,company_name,persona_type,service_name,city,event_type,event_source,event_value,metadata
E100000,2026-04-15 23:03:33,64000232,"Ravel, Bora and Ramachandran",Power Seller,Maximiser Pro,Ludhiana,response_sent,buyer_platform,29,"{'response_time_mins': 48, 'platform': 'App'}"
E100001,2026-04-19 17:20:06,64000078,Samra and Sons,Churning Seller,Mini Dynamic Catalog (Annual),Jaipur,lead_received,notification_engine,5,"{'intent_score': 88, 'category': 'Chemicals', 'source': 'Direct'}"
E100002,2026-04-25 8:39:05,64000950,Savant Inc,Lazy Seller,IM Leader Pro,Mumbai,login,seller_portal,72,{'platform': 'Desktop'}
E100003,2026-05-11 4:49:21,64000445,"Konda, Luthra and Mander",Lazy Seller,Trustseal Pro,Surat,lead_received,crm_system,1,"{'intent_score': 71, 'category': 'Industrial', 'source': 'ASTBuy'}"
E100004,2026-04-22 11:56:10,64000430,Bhandari and Sons,Power Seller,Free,Ludhiana,quotation_sent,notification_engine,44,{'quotation_value': 188013}
E100005,2026-04-25 4:46:42,64000939,"Sandal, Varughese and Chaudhuri",New Seller,IM Leader Pro,Ahmedabad,lead_received,seller_portal,49,"{'intent_score': 93, 'category': 'Electronics', 'source': 'Direct'}"
E100006,2026-05-01 10:39:25,64000199,"Arya, Deshpande and Goswami",New Seller,Trustseal Pro,Noida,login,crm_system,6,{'platform': 'Mobile Site'}
E100007,2026-05-10 18:40:14,64000304,"Sant, Mander and Kaur",Free Active Seller,Free,Ludhiana,catalog_updated,notification_engine,11,{'products_updated': 2}
E100008,2026-05-02 7:15:18,64000563,"Sami, Jayaraman and Raju",Churning Seller,IM Leader Pro,Jaipur,hot_lead_missed,seller_portal,6,"{'intent_score': 94, 'penalty_score': 11}"
E100009,2026-04-28 19:04:52,64000262,"Bhalla, Rattan and Bumb",Free Active Seller,Free,Mumbai,quotation_sent,buyer_platform,13,{'quotation_value': 25916}
E100010,2026-05-06 18:10:51,64000456,Mammen-Ben,Churning Seller,IM IL,Chennai,response_sent,buyer_platform,48,"{'response_time_mins': 41, 'platform': 'App'}"
E100011,2026-04-27 16:58:17,64000955,Wali and Sons,Power Seller,Mini Dynamic Catalog (Annual),Jaipur,lead_consumed,seller_portal,78,{'platform': 'Mobile Site'}
E100012,2026-05-10 16:14:16,64000952,Mandal Group,Free Active Seller,Free,Ludhiana,response_sent,buyer_platform,60,"{'response_time_mins': 47, 'platform': 'Desktop'}"
E100013,2026-05-11 18:48:47,64000381,"Kadakia, Malhotra and Ramaswamy",Free Active Seller,Free,Mumbai,lead_consumed,crm_system,99,{'platform': 'Desktop'}
E100014,2026-04-25 20:46:48,64000084,Vyas-Rao,Premium Stable Seller,Mini Dynamic Catalog (Monthly),Gurugram,quotation_sent,seller_portal,41,{'quotation_value': 220430}
E100015,2026-04-17 23:02:06,64000110,"Rau, Bala and Sachar",New Seller,IM Star Pro,Noida,lead_consumed,crm_system,28,{'platform': 'Desktop'}
E100016,2026-05-03 22:51:51,64000129,Sehgal PLC,New Seller,Mini Dynamic Catalog (Annual),Ahmedabad,catalog_updated,notification_engine,19,{'products_updated': 11}
E100017,2026-04-26 17:15:41,64000629,"Suri, Raja and Soni",Lazy Seller,Mini Dynamic Catalog (Annual),Surat,lead_consumed,crm_system,96,{'platform': 'Mobile Site'}
E100018,2026-05-13 1:47:05,64000565,Bedi-Bhasin,Power Seller,Free,Surat,response_sent,buyer_platform,18,"{'response_time_mins': 26, 'platform': 'App'}"
E100019,2026-04-19 3:50:12,64000492,Apte-Agarwal,Churning Seller,IM Leader Pro,Ahmedabad,sales_call,buyer_platform,81,"{'call_duration_mins': 3, 'call_outcome': 'Positive'}"
E100020,2026-05-05 5:46:18,64000352,Madan-Singhal,Premium Stable Seller,Trustseal Pro,Mumbai,lead_received,notification_engine,77,"{'intent_score': 83, 'category': 'Garments', 'source': 'ASTBuy'}"
E100021,2026-05-10 10:22:57,64000469,"Upadhyay, Kala and Sawhney",Premium Stable Seller,Mini Dynamic Catalog (Monthly),Bengaluru,product_added,seller_portal,88,{'products_added': 5}
E100022,2026-05-10 19:32:07,64000571,"Yadav, Jha and Doshi",Free Active Seller,Free,Ahmedabad,catalog_updated,crm_system,15,{'products_updated': 5}
E100023,2026-04-22 10:11:12,64000563,"Sami, Jayaraman and Raju",Churning Seller,IM Leader Pro,Jaipur,lead_consumed,seller_portal,93,{'platform': 'App'}
E100024,2026-04-27 12:47:24,64000544,"Char, Rajagopalan and Sood",Power Seller,IM Star Pro,Bengaluru,sales_call,seller_portal,81,"{'call_duration_mins': 18, 'call_outcome': 'Positive'}"
E100025,2026-05-09 9:23:23,64000358,Zacharia-De,Power Seller,Mini Dynamic Catalog (Monthly),Bengaluru,lead_received,crm_system,98,"{'intent_score': 83, 'category': 'Industrial', 'source': 'Direct'}"
