seller_id,company_name,city,state,business_type,years_active,service_name,weekly_bl_allocation,revenue_band,persona_type,catalog_quality_score,total_products,active_categories,avg_weekly_leads,avg_weekly_lead_consumption,avg_response_rate,avg_response_time_mins,preferred_platform,seller_rating,engagement_score,seller_health_score,churn_risk,upsell_probability,last_active_days_ago,notification_open_rate,support_ticket_count,preferred_market,primary_category,secondary_categories
64000000,Ghose-Rastogi,Gurugram,Haryana,Partnership,12,Free,0,10L-40L,Free Active Seller,77,476,71,7,6,72,7,Desktop,3.57,73,89,Medium,98,6,33,0,Export,Electronics,CCTV Camera|Fiber Optic Cable|Adapters
64000001,"Reddy, Lanka and Dara",Ahmedabad,Gujarat,LLP,4,IM Star Pro,30,10L-40L,Lazy Seller,40,130,45,18,2,30,94,App,4.64,20,23,High,9,17,39,4,Regional,Machinery,Juice Machine|Lathe Machine|Packaging Machine
64000002,"Kamdar, Majumdar and Dutta",Noida,Uttar Pradesh,Partnership,15,Mini Dynamic Catalog (Annual),10,40L-1.5Cr,Lazy Seller,58,43,31,54,4,43,113,Desktop,3.85,16,37,High,7,7,30,5,Regional,Electronics,Adapters|Wireless CCTV|CCTV Camera
64000003,Kannan-Mannan,Surat,Gujarat,Private Limited,4,IM Star Pro,30,1.5Cr-5Cr,New Seller,77,293,33,25,14,74,14,Mobile Site,4.37,59,65,Medium,40,17,15,5,Regional,Garments,T-Shirts|Uniforms|Hoodies
64000004,"Kurian, Bhat and Ben",Ahmedabad,Gujarat,Partnership,13,Free,0,5Cr-20Cr,Free Active Seller,82,181,29,25,15,73,6,Desktop,3.65,76,86,Medium,97,17,16,8,Export,Garments,Hoodies|Uniforms|Corporate Wear
64000005,Luthra-Chandra,Ludhiana,Punjab,LLP,15,IM IL,70,40L-1.5Cr,Premium Stable Seller,89,406,8,115,14,85,5,Mobile Site,3.92,91,93,Low,17,1,5,6,National,Packaging,Labels|Shipping Box|Plastic Pouch
64000006,"Batta, Mangal and Thaman",Chennai,Tamil Nadu,LLP,9,Free,0,1.5Cr-5Cr,Free Active Seller,87,473,70,13,12,92,5,Desktop,3.7,91,71,Medium,96,25,11,7,Regional,Garments,Uniforms|Kids Wear|Hoodies
64000007,Salvi PLC,Ludhiana,Punjab,Proprietorship,9,IM Star Pro,30,1.5Cr-5Cr,Power Seller,88,326,43,67,0,89,7,App,3.61,85,98,Low,10,0,16,1,Regional,Furniture,Wooden Table|Office Chair|Modular Desk
64000008,Mander Group,Noida,Uttar Pradesh,Partnership,13,Trustseal Pro,14,1.5Cr-5Cr,Premium Stable Seller,82,466,79,32,3,93,11,App,4.89,80,86,Low,31,1,42,5,National,Electronics,CCTV Camera|Wireless CCTV|Adapters
64000009,"Deol, Ramaswamy and Sarin",Bengaluru,Karnataka,LLP,2,Maximiser Pro,21,10L-40L,Churning Seller,52,132,2,14,11,51,27,Desktop,3.31,55,27,High,23,25,3,5,Regional,Chemicals,Cleaning Chemical|Paint Chemical|Industrial Solvents
64000010,Chawla Ltd,Bengaluru,Karnataka,Proprietorship,5,Free,0,5Cr-20Cr,New Seller,61,312,75,20,7,62,18,App,3.52,63,74,Medium,63,30,7,6,National,Agriculture,Seeds|Fertilizers|Drip Irrigation
64000011,Kothari Ltd,Jaipur,Rajasthan,LLP,8,Mini Dynamic Catalog (Monthly),7,5Cr-20Cr,New Seller,76,193,15,20,3,65,16,Desktop,3.92,41,57,Medium,58,11,18,7,Regional,Furniture,Sofa|Modular Desk|Office Chair
64000012,Magar-Basak,Gurugram,Haryana,LLP,13,Mini Dynamic Catalog (Annual),10,5Cr-20Cr,Premium Stable Seller,79,454,32,15,6,98,11,Desktop,4.67,75,80,Low,39,3,4,2,National,Electronics,CCTV Camera|HDMI Cable|Wireless CCTV
64000013,Kashyap Inc,Delhi,Delhi,LLP,5,IM Star Pro,30,10L-40L,Lazy Seller,67,131,9,79,23,55,102,Mobile Site,3.73,14,21,High,14,22,4,7,Export,Electronics,HDMI Cable|CCTV Camera|Adapters
64000014,Keer-Sur,Bengaluru,Karnataka,Proprietorship,1,Mini Dynamic Catalog (Annual),10,10L-40L,Premium Stable Seller,83,81,74,20,9,80,12,App,4.32,77,85,Low,27,0,37,8,National,Furniture,Modular Desk|Sofa|Wooden Table
64000015,"Kothari, Bail and Bhatti",Ludhiana,Punjab,Proprietorship,11,IM Leader Pro,40,5Cr-20Cr,New Seller,62,173,60,45,4,53,35,Mobile Site,4.9,44,66,Medium,55,5,7,1,Export,Leather,Organizer Bag|Laptop Sleeve|Passport Holder
64000016,"Acharya, Kuruvilla and Chaudhari",Ahmedabad,Gujarat,Private Limited,3,Free,0,10L-40L,Free Active Seller,72,446,71,14,9,72,10,Mobile Site,4.59,79,73,Medium,89,30,20,1,Regional,Furniture,Office Chair|Sofa|Modular Desk
64000017,Kuruvilla Group,Ludhiana,Punjab,Partnership,15,Trustseal Pro,14,10L-40L,Power Seller,90,371,35,37,7,94,11,Desktop,4.28,86,92,Low,16,2,18,0,Regional,Machinery,Juice Machine|Mixer Machine|Lathe Machine
64000018,"Sama, Gulati and Ray",Surat,Gujarat,Proprietorship,11,Free,0,40L-1.5Cr,Free Active Seller,75,307,3,8,1,88,12,Mobile Site,3.26,87,90,Medium,88,27,24,8,Regional,Furniture,Wooden Table|Sofa|Modular Desk
64000019,Doshi-Garde,Jaipur,Rajasthan,Proprietorship,1,Free,0,5Cr-20Cr,Free Active Seller,81,369,33,8,5,90,18,Mobile Site,4.47,71,79,Medium,81,29,16,2,Regional,Garments,Uniforms|T-Shirts|Hoodies
64000020,"Sethi, Subramaniam and Divan",Jaipur,Rajasthan,Partnership,3,IM Leader Pro,40,10L-40L,New Seller,80,396,33,39,10,74,36,App,4.68,65,66,Medium,62,30,31,3,Regional,Packaging,Plastic Pouch|Corrugated Box|Shipping Box
64000021,"Walla, Wagle and Sarraf",Noida,Uttar Pradesh,Private Limited,5,Maximiser Pro,21,5Cr-20Cr,Churning Seller,50,415,37,49,20,42,76,Mobile Site,4.87,41,28,High,7,21,35,5,Regional,Chemicals,Industrial Solvents|Cleaning Chemical|Paint Chemical
64000022,Majumdar Ltd,Gurugram,Haryana,Private Limited,3,IM Star Pro,30,5Cr-20Cr,Premium Stable Seller,79,422,42,60,19,81,12,Mobile Site,3.52,88,89,Low,38,0,3,6,Regional,Agriculture,Fertilizers|Drip Irrigation|Seeds
64000023,"Rana, Kapoor and Lanka",Bengaluru,Karnataka,Proprietorship,6,Mini Dynamic Catalog (Annual),10,5Cr-20Cr,Lazy Seller,61,279,41,47,6,40,55,Mobile Site,3.7,33,43,High,14,15,9,3,National,Machinery,Lathe Machine|Mixer Machine|Juice Machine
64000024,Gulati-Samra,Jaipur,Rajasthan,Proprietorship,10,IM Star Pro,30,5Cr-20Cr,Premium Stable Seller,90,240,76,46,14,95,3,Mobile Site,3.56,84,87,Low,21,3,31,2,Export,Packaging,Plastic Pouch|Corrugated Box|Shipping Box
64000025,"Banerjee, Hayer and Vohra",Gurugram,Haryana,Private Limited,9,IM Leader Pro,40,40L-1.5Cr,New Seller,57,432,27,23,0,71,25,App,4.24,61,54,Medium,42,6,5,7,National,Agriculture,Seeds|Drip Irrigation|Pesticides
64000026,"D’Alia, Gopal and Loke",Chennai,Tamil Nadu,Proprietorship,12,IM IL,70,40L-1.5Cr,New Seller,70,22,15,104,54,57,25,Mobile Site,4.08,44,65,Medium,57,12,4,8,Regional,Leather,Wallet|Card Holder|Organizer Bag
64000027,Sharaf Inc,Gurugram,Haryana,LLP,3,IM Leader Pro,40,40L-1.5Cr,Lazy Seller,68,479,22,65,28,52,94,Mobile Site,3.67,36,44,High,19,13,34,7,Export,Electronics,Wireless CCTV|Adapters|Fiber Optic Cable
64000028,Srinivas PLC,Ahmedabad,Gujarat,Private Limited,8,IM Star Pro,30,40L-1.5Cr,Power Seller,89,97,31,54,22,93,7,Desktop,3.91,90,84,Low,14,1,22,8,National,Agriculture,Pesticides|Drip Irrigation|Seeds
64000029,"Buch, Bhalla and Sharaf",Jaipur,Rajasthan,Partnership,4,IM IL,70,40L-1.5Cr,Lazy Seller,41,172,51,114,53,44,101,App,3.57,10,45,High,16,22,28,7,Regional,Electronics,Adapters|Fiber Optic Cable|Wireless CCTV
64000030,Balan-Mani,Jaipur,Rajasthan,Private Limited,11,IM IL,70,10L-40L,New Seller,78,293,5,55,37,50,39,Desktop,4.29,69,49,Medium,54,23,9,7,Regional,Chemicals,Industrial Solvents|Cleaning Chemical|Paint Chemical
64000031,Desai-Jha,Delhi,Delhi,Private Limited,7,Free,0,5Cr-20Cr,Free Active Seller,76,405,55,13,13,79,10,Desktop,4.47,80,80,Medium,83,7,4,5,Regional,Leather,Card Holder|Passport Holder|Organizer Bag
64000032,Singh-Dasgupta,Gurugram,Haryana,Partnership,13,Maximiser Pro,21,1.5Cr-5Cr,Power Seller,88,262,16,32,14,85,11,Desktop,4.23,84,89,Low,14,2,8,2,National,Furniture,Wooden Table|Sofa|Office Chair
64000033,"Kanda, Devan and Salvi",Gurugram,Haryana,Partnership,15,Free,0,1.5Cr-5Cr,Free Active Seller,88,58,77,25,7,86,11,Mobile Site,4.22,82,90,Medium,81,8,8,0,National,Furniture,Wooden Table|Office Chair|Modular Desk
64000034,Krish-Sodhi,Bengaluru,Karnataka,LLP,11,Free,0,5Cr-20Cr,Free Active Seller,72,441,64,8,6,81,15,Mobile Site,3.46,80,68,Medium,88,16,12,8,Export,Leather,Laptop Sleeve|Passport Holder|Organizer Bag
64000035,"De, Kapadia and Hari",Ludhiana,Punjab,LLP,8,IM Star Pro,30,5Cr-20Cr,Lazy Seller,60,144,61,77,19,35,51,App,3.25,18,43,High,19,26,21,2,National,Chemicals,Cleaning Chemical|Industrial Solvents|Paint Chemical
64000036,Iyer-Seshadri,Ahmedabad,Gujarat,Private Limited,13,Free,0,5Cr-20Cr,Free Active Seller,80,25,68,11,1,73,14,App,4.14,92,76,Medium,92,12,16,7,Export,Chemicals,Cleaning Chemical|Industrial Solvents|Paint Chemical
64000037,Dubey-Apte,Noida,Uttar Pradesh,LLP,13,Mini Dynamic Catalog (Annual),10,5Cr-20Cr,Power Seller,91,317,49,35,8,92,8,Mobile Site,4.14,87,91,Low,31,2,23,7,National,Machinery,Packaging Machine|Mixer Machine|Juice Machine
64000038,Sha-Sheth,Ludhiana,Punjab,Private Limited,4,Maximiser Pro,21,10L-40L,Power Seller,92,398,63,40,18,88,10,Desktop,3.7,85,88,Low,16,2,24,2,National,Electronics,Adapters|HDMI Cable|CCTV Camera
64000039,Jayaraman-Gopal,Delhi,Delhi,Proprietorship,5,Mini Dynamic Catalog (Monthly),7,1.5Cr-5Cr,Power Seller,91,313,38,35,7,89,12,Desktop,4.84,95,85,Low,10,3,17,7,Regional,Agriculture,Fertilizers|Drip Irrigation|Pesticides
64000040,Mander-Chaudhry,Gurugram,Haryana,LLP,8,Mini Dynamic Catalog (Monthly),7,5Cr-20Cr,Power Seller,86,80,73,53,6,89,11,App,4.74,89,84,Low,17,1,20,6,National,Machinery,Juice Machine|Lathe Machine|Mixer Machine
64000041,"Sant, Dutta and Apte",Chennai,Tamil Nadu,Partnership,10,Mini Dynamic Catalog (Annual),10,40L-1.5Cr,New Seller,79,100,32,16,8,51,23,Desktop,3.89,48,66,Medium,37,7,45,7,National,Packaging,Plastic Pouch|Labels|Shipping Box
64000042,Krishna Ltd,Delhi,Delhi,Proprietorship,5,IM Star Pro,30,40L-1.5Cr,New Seller,77,493,35,80,21,72,39,App,3.4,42,66,Medium,42,30,15,2,National,Electronics,HDMI Cable|Adapters|CCTV Camera
64000043,Shenoy-Vasa,Mumbai,Maharashtra,Partnership,1,IM Star Pro,30,5Cr-20Cr,Churning Seller,69,378,53,39,16,48,81,App,3.34,27,34,High,14,22,3,6,Export,Chemicals,Industrial Solvents|Paint Chemical|Cleaning Chemical
64000044,"Tank, Date and Kalla",Surat,Gujarat,Private Limited,1,Maximiser Pro,21,5Cr-20Cr,Power Seller,82,285,58,40,5,93,11,Desktop,4,81,87,Low,25,3,27,5,National,Garments,T-Shirts|Hoodies|Kids Wear
64000045,"Vyas, Dugal and Guha",Gurugram,Haryana,Proprietorship,6,Free,0,5Cr-20Cr,Lazy Seller,58,181,34,15,3,45,110,Mobile Site,4.6,11,29,High,7,29,1,8,National,Electronics,CCTV Camera|Fiber Optic Cable|Adapters
64000046,Hans-Rajan,Jaipur,Rajasthan,Partnership,4,IM Leader Pro,40,10L-40L,Premium Stable Seller,93,301,18,41,28,98,10,Desktop,4.85,76,84,Low,23,3,39,3,Export,Machinery,Lathe Machine|Mixer Machine|Juice Machine
64000047,Bawa Ltd,Mumbai,Maharashtra,Private Limited,9,IM IL,70,5Cr-20Cr,Power Seller,84,446,21,68,37,92,3,App,4.87,94,85,Low,30,2,16,7,Export,Machinery,Juice Machine|Lathe Machine|Mixer Machine
64000048,Madan and Sons,Mumbai,Maharashtra,LLP,4,Trustseal Pro,14,1.5Cr-5Cr,Premium Stable Seller,80,279,36,57,0,86,15,Mobile Site,4.19,88,88,Low,40,2,43,7,Regional,Machinery,Mixer Machine|Juice Machine|Packaging Machine
64000049,"Balasubramanian, Kade and Grewal",Noida,Uttar Pradesh,LLP,6,Free,0,40L-1.5Cr,Free Active Seller,87,465,26,12,9,89,13,App,3.27,82,82,Medium,85,17,31,6,National,Electronics,CCTV Camera|Wireless CCTV|HDMI Cable
64000050,"Kapoor, Bala and Sood",Mumbai,Maharashtra,LLP,1,IM Leader Pro,40,5Cr-20Cr,Churning Seller,77,27,20,57,9,36,81,App,3.78,26,36,High,19,7,45,6,Export,Packaging,Shipping Box|Labels|Corrugated Box
64000051,Saini and Sons,Gurugram,Haryana,Private Limited,14,IM IL,70,10L-40L,New Seller,65,336,10,35,18,65,41,App,4.86,67,62,Medium,36,12,41,1,National,Electronics,CCTV Camera|Wireless CCTV|Fiber Optic Cable
64000052,Sarraf-Bali,Mumbai,Maharashtra,Private Limited,15,Mini Dynamic Catalog (Monthly),7,40L-1.5Cr,Power Seller,92,94,33,38,6,86,6,Desktop,3.33,91,93,Low,23,1,25,3,National,Chemicals,Industrial Solvents|Paint Chemical|Cleaning Chemical
64000053,"Trivedi, Dutta and Swamy",Chennai,Tamil Nadu,Proprietorship,4,IM Star Pro,30,5Cr-20Cr,Lazy Seller,69,481,38,74,5,36,41,App,4.88,38,40,High,19,7,20,6,Export,Machinery,Mixer Machine|Packaging Machine|Juice Machine
64000054,Comar Inc,Ludhiana,Punjab,LLP,14,Free,0,1.5Cr-5Cr,Free Active Seller,76,215,75,16,9,77,18,Desktop,4.86,85,71,Medium,82,27,43,6,National,Leather,Organizer Bag|Card Holder|Passport Holder
64000055,"Sathe, Goda and Kade",Delhi,Delhi,Partnership,15,Free,0,1.5Cr-5Cr,Premium Stable Seller,87,117,34,9,1,85,12,App,3.26,86,85,Low,35,0,24,2,Regional,Electronics,Wireless CCTV|CCTV Camera|Adapters
64000056,"Vaidya, Badami and Sanghvi",Ludhiana,Punjab,Private Limited,12,Trustseal Pro,14,1.5Cr-5Cr,Lazy Seller,52,445,23,21,14,28,109,Mobile Site,4.68,38,26,High,13,20,8,7,Regional,Garments,T-Shirts|Uniforms|Hoodies
64000057,Yogi Ltd,Mumbai,Maharashtra,Proprietorship,14,IM IL,70,1.5Cr-5Cr,New Seller,80,27,35,73,15,62,33,Mobile Site,4.47,42,70,Medium,47,19,17,6,Export,Packaging,Shipping Box|Labels|Corrugated Box
64000058,Gill-Badami,Surat,Gujarat,Partnership,11,Free,0,10L-40L,Churning Seller,50,345,61,14,10,65,66,Desktop,3.28,34,40,High,7,18,3,4,National,Packaging,Corrugated Box|Shipping Box|Labels
64000059,Bhalla-Dube,Gurugram,Haryana,Partnership,4,Trustseal Pro,14,5Cr-20Cr,Premium Stable Seller,90,400,21,61,6,92,8,Mobile Site,3.89,92,91,Low,33,0,18,0,Export,Garments,Kids Wear|Corporate Wear|Uniforms
64000060,Loyal-Kala,Surat,Gujarat,Proprietorship,8,Maximiser Pro,21,5Cr-20Cr,Lazy Seller,63,51,52,40,6,26,87,Desktop,4.33,27,43,High,16,8,42,0,Regional,Furniture,Modular Desk|Sofa|Wooden Table
64000061,Tak-Srinivasan,Surat,Gujarat,Proprietorship,3,Maximiser Pro,21,40L-1.5Cr,Premium Stable Seller,80,188,20,5,2,95,6,Mobile Site,3.63,93,84,Low,22,1,12,1,Export,Leather,Wallet|Organizer Bag|Passport Holder
64000062,"Sharma, Saxena and Balay",Delhi,Delhi,Proprietorship,1,Free,0,10L-40L,Free Active Seller,77,46,18,18,3,83,10,App,3.96,70,73,Medium,83,28,24,8,Export,Garments,Hoodies|T-Shirts|Corporate Wear
64000063,Wadhwa-Jhaveri,Gurugram,Haryana,LLP,9,Mini Dynamic Catalog (Monthly),7,10L-40L,Churning Seller,73,51,63,30,6,63,63,App,4.41,49,40,High,5,26,29,1,Regional,Chemicals,Industrial Solvents|Paint Chemical|Cleaning Chemical
64000064,Rattan-Choudhary,Surat,Gujarat,Proprietorship,2,IM Star Pro,30,10L-40L,Churning Seller,69,170,60,69,19,65,66,Mobile Site,3.39,44,39,High,21,18,42,8,Export,Leather,Passport Holder|Laptop Sleeve|Card Holder
64000065,"Kannan, Sur and Kota",Ahmedabad,Gujarat,LLP,8,IM IL,70,1.5Cr-5Cr,Churning Seller,60,180,56,45,42,59,76,Desktop,4.37,46,43,High,8,13,31,1,Regional,Electronics,Adapters|CCTV Camera|Fiber Optic Cable
64000066,Barad-Keer,Gurugram,Haryana,Partnership,7,IM Leader Pro,40,1.5Cr-5Cr,Power Seller,86,82,54,50,27,86,11,Mobile Site,3.73,97,92,Low,31,0,7,8,Regional,Machinery,Mixer Machine|Packaging Machine|Lathe Machine
64000067,Lad-Venkatesh,Mumbai,Maharashtra,LLP,4,IM Leader Pro,40,1.5Cr-5Cr,Power Seller,93,239,73,84,39,88,6,Desktop,3.51,98,89,Low,35,0,45,4,National,Garments,Hoodies|T-Shirts|Uniforms
64000068,"Bora, Wali and Bose",Surat,Gujarat,Partnership,3,IM IL,70,40L-1.5Cr,Churning Seller,52,130,50,58,29,39,28,App,3.73,25,43,High,21,15,21,1,Regional,Chemicals,Cleaning Chemical|Industrial Solvents|Paint Chemical
